matched_skills,total_skills,word_count,score,match_percentage
5,10,400,55,50
7,10,500,74,70
9,10,600,93,90
3,8,300,41.25,37.5
8,10,550,83.5,80
6,10,480,66,60
4,8,350,52.5,50
2,6,250,35.83333333,33.33333333
10,10,600,100,100
10,10,650,102.5,100
1,6,200,21.66666667,16.66666667
6,9,520,72.66666667,66.66666667
7,9,470,77.94444444,77.77777778
5,8,430,65.25,62.5
8,10,600,86,80
3,7,320,46,42.85714286
6,8,460,75.5,75
7,9,510,79.94444444,77.77777778
5,8,400,63.75,62.5
8,10,570,84.5,80
4,7,340,57,57.14285714
3,6,280,49,50
9,10,640,95,90
9,9,580,98.67,100
6,8,470,76,75
2,5,210,38.5,40
7,10,590,78.5,70
8,10,620,87,80
10,10,670,103.5,100
5,9,440,60.88888889,55.55555556
7,9,510,79.94444444,77.77777778
6,9,460,69.66666667,66.66666667
4,8,350,52.5,50
5,8,380,62.75,62.5
9,10,610,93.5,90
3,7,330,46.5,42.85714286
6,10,540,69,60
8,10,650,88.5,80
7,10,580,78,70
5,9,470,62.38888889,55.55555556
10,10,660,103,100
2,6,240,35.33333333,33.33333333
4,7,360,58,57.14285714
6,8,420,73.5,75
9,10,650,95.5,90
7,9,500,79.44444444,77.77777778
5,8,400,63.75,62.5
3,6,280,49,50
10,10,670,103.5,100
6,9,460,69.66666667,66.66666667
8,10,600,86,80
9,10,630,94.5,90
5,9,430,60.38888889,55.55555556
7,10,590,78.5,70
4,8,340,52,50
6,9,480,70.66666667,66.66666667
7,10,620,80,70
3,6,310,50.5,50
9,10,620,94,90
5,8,380,62.75,62.5
8,10,610,86.5,80
4,7,330,56.5,57.14285714
15,15,550,97.33,100
6,9,500,71.66666667,66.66666667
2,6,230,34.83333333,33.33333333
5,9,470,62.38888889,55.55555556
7,10,590,78.5,70
9,10,640,95,90
8,10,570,84.5,80
7,9,510,79.94444444,77.77777778
5,8,450,66.25,62.5
3,6,280,49,50
9,10,630,94.5,90
7,10,600,79,70
6,8,480,76.5,75
5,8,420,64.75,62.5
10,10,670,103.5,100
6,9,460,69.66666667,66.66666667
7,9,520,80.44444444,77.77777778
8,10,630,87.5,80
5,8,410,64.25,62.5
12,12,590,99.67,100
3,7,320,46,42.85714286
6,9,470,70.16666667,66.66666667
5,10,400,55,50
7,10,500,74,70
9,10,600,93,90
3,8,300,41.25,37.5
8,10,550,83.5,80
6,10,480,66,60
4,8,350,52.5,50
2,6,250,35.83,33.33
10,10,650,102.5,100
1,6,200,21.67,16.67
6,9,520,72.67,66.67
5,7,380,65.43,71.43
8,12,600,73.33,66.67
3,5,300,60,60
